Query	DB_hit	%id	length	Mismatches	Gaps	qstart	qend	sstart	ssend	evalue	bitscore
RS_Test_Set1_k35__NODE_10000_length_673_cov_23.3871	Database08g067950.2.1	51.786	112	54	0	8	119	5	116	6.85e-34	115
RS_Test_Set1_k35__NODE_10001_length_673_cov_65.9248	Database10g076910.1.1	89.286	224	24	0	1	224	502	725	1.98e-130	397
RS_Test_Set1_k35__NODE_10004_length_673_cov_90.6599	Database03g098070.2.1	53.112	241	74	5	1	222	69	289	6.31e-63	199
RS_Test_Set1_k35__NODE_10005_length_673_cov_38.4295	Database01g005210.2.1	83.482	224	37	0	1	224	601	824	7.64e-136	401
RS_Test_Set1_k35__NODE_10008_length_673_cov_75.5502	Database07g055060.2.1	92.857	224	16	0	1	224	72	295	6.39e-148	435
RS_Test_Set1_k35__NODE_100091_length_173_cov_28.1884	Database09g010180.2.1	55.000	20	9	0	29	48	712	731	0.26	27.3
RS_Test_Set1_k35__NODE_10009_length_673_cov_117.817	Database03g096820.2.1	74.888	223	56	0	1	223	271	493	6.95e-124	362
RS_Test_Set1_k35__NODE_10010_length_672_cov_43.9576	Database03g119690.1.1	52.850	193	82	2	1	193	348	531	1.01e-61	200
RS_Test_Set1_k35__NODE_10019_length_672_cov_41.4113	Database08g083040.2.1	64.356	101	36	0	17	117	417	517	3.62e-33	121
RS_Test_Set1_k35__NODE_10020_length_672_cov_96.9623	Database09g076040.2.1	65.094	212	73	1	1	212	300	510	6.38e-100	298
RS_Test_Set1_k35__NODE_10021_length_672_cov_127.451	Database01g095740.2.1	86.702	188	25	0	1	188	683	870	7.75e-119	356
RS_Test_Set1_k35__NODE_10024_length_672_cov_81.2951	Database06g054420.2.1	75.532	188	45	1	1	187	11	198	2.31e-103	303
RS_Test_Set1_k35__NODE_10026_length_672_cov_28.2575	Database06g053730.1.1	33.333	45	28	1	44	88	246	288	0.97	29.6
RS_Test_Set1_k35__NODE_100274_length_173_cov_7.22464	Database04g008010.2.1	33.333	42	27	1	8	48	611	652	9.4	23.5
RS_Test_Set1_k35__NODE_10029_length_672_cov_25.113	Database12g019890.1.1	79.821	223	44	1	2	224	148	369	8.53e-130	374
RS_Test_Set1_k35__NODE_1002_length_1605_cov_192.627	Database03g031700.2.1	91.847	417	31	1	1	414	132	548	0.0	808
RS_Test_Set1_k35__NODE_10030_length_672_cov_13.0283	Database05g009220.2.1	45.789	190	95	4	1	186	443	628	1.27e-46	164
RS_Test_Set1_k35__NODE_10033_length_672_cov_196.622	Database04g077940.2.1	42.714	199	78	6	1	165	799	995	5.30e-31	119
RS_Test_Set1_k35__NODE_10035_length_671_cov_33.8821	Database11g044880.1.1	39.091	110	55	3	1	109	511	609	4.91e-14	67.0
RS_Test_Set1_k35__NODE_100387_length_173_cov_6.05072	Database05g015000.1.1	32.558	43	27	1	6	48	221	261	7.2	23.5
RS_Test_Set1_k35__NODE_10038_length_671_cov_20.4371	Database09g091470.2.1	39.352	216	104	5	17	223	196	393	7.51e-38	136
RS_Test_Set1_k35__NODE_100395_length_173_cov_10.6957	Database10g045730.1.1	28.571	28	20	0	16	43	20	47	5.1	23.9
RS_Test_Set1_k35__NODE_10039_length_671_cov_92.3349	Database09g011840.1.1	46.707	167	83	4	1	162	194	359	1.73e-41	141
RS_Test_Set1_k35__NODE_1003_length_1604_cov_361.021	Database07g043560.2.1	71.910	534	147	2	1	534	325	855	0.0	740
RS_Test_Set1_k35__NODE_100401_length_173_cov_9.45652	Database03g118670.2.1	81.818	11	2	0	14	24	647	657	7.8	23.5
RS_Test_Set1_k35__NODE_10042_length_671_cov_22.7217	Database03g096810.2.1	46.429	28	13	1	5	32	150	175	1.8	28.9
